# Constructed from biom file
#OTU ID	Zone_2B	Zone_3	Zone_2A	Zone_1
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Pectinidae;g__Placopecten;s__Placopecten magellanicus (sea scallop)	34.0	33.0	13.0	0.0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Lacunidae;g__Lacuna;s__Lacuna vincta (gastropods)	58.0	0.0	0.0	0.0
k__Metazoa;p__Ctenophora;c__Tentaculata;o__Cydippida;f__Pleurobrachiidae;g__Pleurobrachia;s__Pleurobrachia pileus (sea gooseberries)	14.0	6320.0	234.0	8.0
k__Metazoa;p__Porifera;c__Demospongiae;o__Suberitida;f__Halichondriidae;g__Halichondria;s__Halichondria panicea (sponges)	36.0	36.0	8.0	16.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog)	0.0	0.0	74.0	363.0
k__Metazoa;p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Tubificoides;s__Tubificoides benedii (sludge worms)	0.0	69.0	27.0	8.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Mytilida;f__Mytilidae;g__Mytilus;s__Mytilus edulis (blue mussel)	0.0	10.0	4.0	0.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia gracilis (bryozoans)	54.0	65.0	0.0	0.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves)	1631.0	6072.0	5311.0	1189.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)	0.0	19.0	8.0	0.0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Clypeasteroida;f__Echinarachniidae;g__Echinarachnius;s__Echinarachnius parma (sand dollars)	0.0	7594.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt)	0.0	0.0	6.0	14.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Tubulariidae;g__Tubularia;s__Tubularia indivisa (hydrozoans)	0.0	13.0	0.0	0.0
k__Metazoa;p__Nemertea;c__Pilidiophora;o__Heteronemertea;f__Lineidae;g__Lineus;s__Lineus viridis (heteronemertine worms)	23.0	0.0	0.0	10.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Alitta;s__Alitta virens (sandworms)	0.0	0.0	11.0	6.0
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Capitellidae;g__Capitella;s__Capitella capitata (polychaetes)	0.0	0.0	85.0	45.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Cardiida;f__Cardiidae;g__Parvicardium;s__Parvicardium pinnulatum (bivalves)	42.0	85.0	0.0	0.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle)	227.0	68.0	235.0	65.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Trichobranchidae;g__Terebellides;s__Terebellides stroemii (polychaetes)	25.0	50.0	10.0	0.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Streblospio;s__Streblospio benedicti (polychaetes)	14.0	2.0	210.0	106.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Pseudocalanus;s__Pseudocalanus newmani (copepods)	1000.0	170.0	745.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages hamatus (copepods)	0.0	329.0	127.0	0.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Eunicida;f__Lumbrineridae;g__Ninoe;s__Ninoe nigripes (polychaetes)	62.0	72.0	13159.0	16.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Amphibalanus;s__Amphibalanus improvisus (acorn barnacles)	0.0	5999.0	6825.0	2251.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Gammaridae;g__Gammarus;s__Gammarus lawrencianus (beach hoppers, scuds and well shrimps)	0.0	0.0	7.0	25.0
